date,메이플스토리M,검은사막 모바일,마비노기 모바일,아이온2
2024-11-04,0.27927,0.11439,0.1002,0.11876
2024-11-11,0.31513,0.13539,0.10465,0.08138
2024-11-18,0.34109,0.12582,0.09138,0.0619
2024-11-25,0.22971,0.12825,0.07567,0.06316
2024-12-02,0.3452,0.11288,0.06887,0.1222
2024-12-09,0.93676,0.14488,0.0734,0.07744
2024-12-16,0.66891,0.23433,0.06971,0.06778
2024-12-23,0.53738,0.26684,0.0682,0.09717
2024-12-30,0.41802,0.21258,0.09902,0.1217
2025-01-06,0.38166,0.16697,0.12498,0.11506
2025-01-13,0.56291,0.14463,0.09239,0.13094
2025-01-20,0.37376,0.16932,0.08533,0.1233
2025-01-27,0.36897,0.16412,0.69545,0.14581
2025-02-03,0.31278,0.15563,4.90187,0.14018
2025-02-10,0.34613,0.16664,2.68825,0.31908
2025-02-17,0.26734,0.19284,1.66716,0.21602
2025-02-24,0.23543,0.22325,1.35656,0.14194
2025-03-03,0.25096,0.1689,1.45004,0.17629
2025-03-10,0.29943,0.16218,1.65733,0.14387
2025-03-17,0.21552,0.14219,3.21052,0.13447
2025-03-24,0.19629,0.13766,35.57301,0.12691
2025-03-31,0.29069,0.15127,23.13014,0.11011
2025-04-07,0.41828,0.14883,20.60222,0.11355
2025-04-14,0.25239,0.11548,18.22482,0.23971
2025-04-21,0.22131,0.11263,20.89854,0.24979
2025-04-28,0.23501,0.11254,12.99873,0.18906
2025-05-05,0.22543,0.09348,18.26329,0.18957
2025-05-12,0.29884,0.14497,14.47691,4.66652
2025-05-19,0.2109,0.13321,11.51711,3.45527
2025-05-26,0.21871,0.14337,14.56124,7.62079
2025-06-02,0.27667,0.10507,10.13711,2.75402
2025-06-09,0.48413,0.11137,12.02459,1.67682
2025-06-16,0.37586,0.10767,34.69286,1.23703
2025-06-23,0.44087,0.10541,10.63972,1.17538
2025-06-30,0.8563,0.10793,13.00486,1.16908
2025-07-07,0.40215,0.11044,6.95708,0.86344
2025-07-14,0.32001,0.1474,11.22985,1.03142
2025-07-21,0.24055,0.2109,6.53225,1.07728
2025-07-28,0.32177,0.17319,8.20042,1.16606
2025-08-04,0.23862,0.14555,5.87081,2.13844
2025-08-11,0.21653,0.14589,5.52199,2.10089
2025-08-18,0.20048,0.16067,10.55867,1.24946
2025-08-25,0.22921,0.13783,5.16661,1.24107
2025-09-01,0.14807,0.18041,7.50051,1.3521
2025-09-08,0.17294,0.1243,4.72935,9.48147
2025-09-15,0.15026,0.13312,5.80538,8.49708
2025-09-22,0.21342,0.11019,14.71772,4.185
2025-09-29,0.20821,0.128,11.0596,5.09908
2025-10-06,0.18268,0.09608,4.59815,5.22944
2025-10-13,0.18931,0.10171,7.56552,39.46505
2025-10-20,0.18175,0.11548,4.96251,9.37967
2025-10-27,0.22249,0.09885,7.30514,6.94549
2025-11-03,0.21796,0.10398,6.23869,10.00692
2025-11-10,0.23904,0.10146,9.36606,32.64218
2025-11-17,0.20536,0.12187,6.81127,100
2025-11-24,0.20485,0.19057,6.25213,50.82677
2025-12-01,0.24475,0.19738,5.94825,32.90483
2025-12-08,0.25306,0.22963,5.68821,27.07937
2025-12-15,0.56022,0.2597,9.43258,20.74257
2025-12-22,0.33916,0.16176,3.4593,23.3617
2025-12-29,0.2303,0.1322,4.5827,16.42973
2026-01-05,0.20368,0.10499,3.10032,14.55427
2026-01-12,0.26902,0.15748,5.49788,16.65441
2026-01-19,0.18091,0.09323,2.73974,20.59525
2026-01-26,0.17898,0.0871,2.97576,13.63816
2026-02-02,0.19116,0.09255,3.24966,11.48469
2026-02-09,0.30069,0.24651,5.61782,20.935
2026-02-16,0.17159,0.22661,1.8186,7.71234
2026-02-23,0.14488,0.28145,2.94317,12.75154
2026-03-02,0.12195,1.09324,2.00372,8.74864
2026-03-09,0.14303,0.44347,3.50877,9.26527
2026-03-16,0.20527,0.35495,2.32809,10.26411
2026-03-23,0.13489,0.25567,5.98336,15.29726
2026-03-30,0.12346,0.213,3.27654,9.97014
2026-04-06,0.17092,0.17176,2.4162,13.40441
2026-04-13,0.20477,0.1348,2.33095,8.56814
2026-04-20,0.12296,0.1238,3.88229,16.55564
2026-04-27,0.11515,0.11103,1.9492,11.13813
2026-05-04,0.12548,0.11406,1.34631,6.33478
2026-05-11,0.13539,0.0986,1.72511,8.43887
2026-05-18,0.1684,0.10305,2.52447,6.43465
2026-05-25,0.13153,0.09272,2.33305,6.32109
2026-06-01,0.1212,0.09323,2.28123,7.54377
2026-06-08,0.15127,0.08903,2.34867,7.12036
2026-06-15,0.20981,0.08651,3.21615,8.96097
2026-06-22,0.149,0.1432,6.62422,6.41298
2026-06-29,0.1595,0.10196,4.06892,11.90204
2026-07-06,0.16739,0.13959,2.39957,6.63774
2026-07-13,0.38812,0.12052,2.66532,8.05612
2026-07-20,0.53788,0.10154,2.10207,6.88308
2026-07-27,0.89888,0.10919,1.79365,6.26439
2026-08-03,0.3258,0.10625,1.67825,5.19794
2026-08-10,0.2093,0.09877,2.77141,5.01736
2026-08-17,0.18604,0.0897,1.90502,4.9484
2026-08-24,0.04283,0.02998,0.48875,3.73429
